NO,나이,이직여부,출장빈도,일급여,부서,출근거리,학력수준,전공,직원수,고유번호,환경만족도,성별,시급,직무참여도,직급,직무,직무만족도,결혼여부,월급,월급여총액,근무회사수,18세이상,초과근무여부,급여인상비율,성과평가등급,동료관계만족도,표준근무시간,주식옵션수준,근무연수,교육횟수,워라밸만족도,회사근무기간,현재역할근무기간,승진경과기간,현재관리자와근무기간,이름
36,20,Y,많음,871,연구개발,6,3,생명과학,1,137,4,여자,66,2,1,연구원,4,미혼,2926,19783,1,Y,Y,18,3,2,80,0,1,5,3,1,0,1,0,천지연
37,34,N,적음,665,연구개발,6,4,기타,1,138,1,여자,41,3,2,분석가,3,미혼,4809,12482,1,Y,N,14,3,3,80,0,16,3,3,16,13,2,10,박하연
38,59,N,없음,1420,인적자원,2,4,인적자원,1,140,3,여자,32,2,5,매니저,4,결혼,18844,21922,9,Y,N,21,4,4,80,1,30,3,3,3,2,2,2,조규미
39,50,N,많음,1115,연구개발,1,3,생명과학,1,141,1,여자,73,3,5,연구 디렉터,2,결혼,18172,9755,3,Y,Y,19,3,1,80,0,28,1,2,8,3,0,7,이지지
40,22,N,적음,534,연구개발,15,3,의학,1,144,2,여자,59,3,1,연구원,4,미혼,2871,23785,1,Y,N,15,3,3,80,0,1,5,3,0,0,0,0,최윤원
41,51,N,많음,1456,연구개발,1,4,의학,1,145,1,여자,30,2,3,의료 담당자,1,미혼,7484,25796,3,Y,N,20,4,3,80,0,23,1,2,13,12,12,8,이수하
42,54,N,없음,142,인적자원,26,3,인적자원,1,148,4,여자,30,4,4,매니저,4,미혼,17328,13871,2,Y,Y,12,3,3,80,0,23,3,3,5,3,4,4,곽보아
43,34,N,적음,1031,연구개발,6,4,생명과학,1,151,3,여자,45,2,2,분석가,2,이혼,4505,15000,6,Y,N,15,3,3,80,1,12,3,3,1,0,0,0,김가원
44,34,N,적음,1354,연구개발,5,3,의학,1,153,3,여자,45,2,3,매니저,1,미혼,11631,5615,2,Y,N,12,3,4,80,0,14,6,3,11,10,5,8,홍하나
45,36,N,많음,1467,판매,11,2,기술학위,1,154,2,여자,92,3,3,영업사원,4,결혼,9738,22952,0,Y,N,14,3,3,80,1,10,6,3,9,7,2,8,천서연
46,36,N,적음,922,연구개발,3,2,생명과학,1,155,1,여자,39,3,1,연구원,4,이혼,2835,2561,5,Y,N,22,4,1,80,1,7,2,3,1,0,0,0,유지미
47,56,Y,적음,441,연구개발,14,4,생명과학,1,161,2,여자,72,3,1,분석가,2,결혼,4963,4510,9,Y,Y,18,3,1,80,3,7,2,3,5,4,4,3,박하하
48,26,N,적음,841,연구개발,6,3,기타,1,164,3,여자,46,2,1,분석가,2,결혼,2368,23300,1,Y,N,19,3,3,80,0,5,3,2,5,4,4,3,윤하하
49,58,Y,적음,147,연구개발,23,4,의학,1,165,4,여자,94,3,3,의료 담당자,4,결혼,10312,3465,1,Y,N,12,3,4,80,1,40,3,2,40,10,15,6,장채하
50,49,N,적음,470,연구개발,20,4,의학,1,170,3,여자,96,3,2,제조 디렉터,1,결혼,6567,5549,1,Y,N,14,3,3,80,0,16,2,2,15,11,5,11,한채정
51,43,N,많음,957,연구개발,28,3,의학,1,171,2,여자,72,4,1,분석가,3,미혼,4739,16090,4,Y,N,12,3,4,80,0,18,2,3,3,2,1,2,이미미
52,50,N,많음,809,판매,12,3,마케팅,1,174,3,여자,77,3,3,영업사원,4,미혼,9208,6645,4,Y,N,11,3,4,80,0,16,3,3,2,2,2,1,배주리
53,31,Y,적음,542,판매,20,3,생명과학,1,175,2,여자,71,1,2,영업사원,3,결혼,4559,24788,3,Y,Y,11,3,3,80,1,4,2,3,2,2,2,2,신하수
54,26,N,적음,1355,인적자원,25,1,생명과학,1,177,3,여자,61,3,1,인적자원,3,결혼,2942,8916,1,Y,N,23,4,4,80,1,8,3,3,8,7,5,7,이채하
55,39,N,적음,1329,판매,4,4,생명과학,1,182,4,여자,47,2,2,영업사원,3,결혼,5902,14590,4,Y,N,14,3,3,80,1,17,1,4,15,11,5,9,김하서
56,32,Y,적음,1033,연구개발,9,3,의학,1,190,1,여자,41,3,1,연구원,1,미혼,4200,10224,7,Y,N,22,4,1,80,0,10,2,4,5,4,0,4,임벼윤
57,38,N,적음,364,연구개발,3,5,기술학위,1,193,4,여자,32,3,2,분석가,3,미혼,4317,2302,3,Y,Y,20,4,2,80,0,19,2,3,3,2,2,2,신다연
58,30,N,적음,438,연구개발,18,3,생명과학,1,194,1,여자,75,3,1,분석가,3,미혼,2632,23910,1,Y,N,14,3,3,80,0,5,4,2,5,4,0,4,김다수
59,30,N,적음,201,연구개발,5,3,기술학위,1,197,4,여자,84,3,1,분석가,1,이혼,3204,10415,5,Y,N,14,3,4,80,1,8,3,3,3,2,2,2,김보시
60,19,N,적음,1181,연구개발,3,1,의학,1,201,2,여자,79,3,1,연구원,2,미혼,1483,16102,1,Y,N,14,3,4,80,0,1,3,3,1,0,0,0,이서지
61,40,N,많음,1395,연구개발,26,3,의학,1,202,2,여자,54,3,2,분석가,2,이혼,5605,8504,1,Y,N,11,3,1,80,1,20,2,3,20,7,2,13,김수정
62,32,N,많음,967,판매,8,3,마케팅,1,207,2,여자,43,3,3,영업사원,4,미혼,8998,15589,1,Y,N,14,3,4,80,0,9,2,3,9,8,3,7,장연운
63,58,N,적음,1145,연구개발,9,3,의학,1,214,2,여자,75,2,1,분석가,2,결혼,3346,11873,4,Y,Y,20,4,2,80,1,9,3,2,1,0,0,0,이지은
64,34,N,많음,303,판매,2,4,마케팅,1,216,3,여자,75,3,1,영업 담당자,3,결혼,2231,11314,6,Y,N,18,3,4,80,1,6,3,3,4,3,1,2,김서미
65,50,N,적음,1452,연구개발,11,3,생명과학,1,226,3,여자,53,3,5,매니저,2,미혼,19926,17053,3,Y,N,15,3,2,80,0,21,5,3,5,4,4,4,강저하
66,30,N,적음,1339,판매,5,3,생명과학,1,228,2,여자,41,3,3,영업사원,4,결혼,9419,8053,2,Y,N,12,3,3,80,1,12,2,3,10,9,7,4,지소지
67,38,N,적음,702,판매,1,4,생명과학,1,230,1,여자,59,2,2,영업사원,4,미혼,8686,12930,4,Y,N,22,4,3,80,0,12,2,4,8,3,0,7,김새하
68,19,Y,많음,602,판매,1,1,기술학위,1,235,3,여자,100,1,1,영업 담당자,1,미혼,2325,20989,0,Y,N,21,4,1,80,0,1,5,4,0,0,0,0,이지영
69,45,N,적음,1268,판매,4,2,생명과학,1,240,3,여자,30,3,2,영업사원,1,이혼,5006,6319,4,Y,Y,11,3,1,80,1,9,3,4,5,4,0,3,이하아
70,56,N,적음,713,연구개발,8,3,생명과학,1,241,3,여자,67,3,1,분석가,1,이혼,4257,13939,4,Y,Y,18,3,3,80,1,19,3,3,2,2,2,2,반서하
71,46,N,적음,526,판매,1,2,마케팅,1,244,2,여자,92,3,3,영업사원,1,이혼,10453,2137,1,Y,N,25,4,3,80,3,24,2,3,24,13,15,7,이가주
72,38,N,적음,1380,연구개발,9,2,생명과학,1,245,3,여자,75,3,1,연구원,4,미혼,2288,6319,1,Y,N,12,3,3,80,0,2,3,3,2,2,2,1,최지서
73,31,N,적음,140,연구개발,12,1,의학,1,246,3,여자,95,3,1,분석가,4,결혼,3929,6984,8,Y,Y,23,4,3,80,1,7,0,3,4,2,0,2,이예윤
74,34,N,적음,629,연구개발,27,2,의학,1,247,4,여자,95,3,1,분석가,2,미혼,2311,5711,2,Y,N,15,3,4,80,0,9,3,3,3,2,1,2,김지미
75,41,Y,적음,1356,판매,20,2,마케팅,1,248,2,여자,70,3,1,영업 담당자,2,미혼,3140,21728,1,Y,Y,22,4,4,80,0,4,5,2,4,3,0,2,정슨지
76,53,N,적음,1084,연구개발,13,2,의학,1,250,4,여자,57,4,2,제조 디렉터,1,이혼,4450,26250,1,Y,N,11,3,3,80,2,5,3,3,4,2,1,3,손소하
77,33,N,적음,931,연구개발,14,3,의학,1,252,4,여자,72,3,1,분석가,2,결혼,2756,4673,1,Y,N,13,3,4,80,1,8,5,3,8,7,1,6,공지원
78,40,N,적음,989,연구개발,4,1,의학,1,253,4,여자,46,3,5,매니저,3,결혼,19033,6499,1,Y,N,14,3,2,80,1,21,2,3,20,8,9,9,김지안
79,51,N,적음,313,연구개발,3,3,의학,1,258,4,여자,98,3,4,의료 담당자,2,미혼,13734,7192,3,Y,N,18,3,3,80,0,21,6,3,7,7,1,0,권서비
80,27,N,적음,894,연구개발,9,3,의학,1,260,4,여자,99,3,1,분석가,2,미혼,2279,11781,1,Y,N,16,3,4,80,0,7,2,2,7,7,0,3,조미기
81,35,N,많음,138,연구개발,2,3,의학,1,269,2,여자,37,3,2,연구원,2,미혼,4425,15986,5,Y,N,11,3,4,80,0,10,5,3,6,2,1,2,전지정
82,42,N,없음,926,연구개발,21,2,의학,1,270,3,여자,36,3,2,제조 디렉터,3,이혼,5265,16439,2,Y,N,16,3,2,80,1,11,5,3,5,3,0,2,송연경
83,29,Y,적음,121,판매,27,3,마케팅,1,283,2,여자,35,3,3,영업사원,4,결혼,7639,24525,1,Y,N,22,4,4,80,3,10,3,2,10,4,1,9,문하하
84,36,N,많음,635,연구개발,18,1,의학,1,286,2,여자,73,3,1,연구원,4,미혼,2153,7703,1,Y,N,13,3,1,80,0,8,2,3,8,1,1,7,이하하
85,27,N,많음,1242,판매,20,3,생명과학,1,293,4,여자,90,3,2,영업사원,3,미혼,9981,12916,1,Y,N,14,3,4,80,0,7,2,3,7,7,0,7,민다은
86,30,Y,적음,1005,연구개발,3,3,기술학위,1,297,4,여자,88,3,1,분석가,1,미혼,2657,8556,5,Y,Y,11,3,3,80,0,8,5,3,5,2,0,4,최미은
87,41,N,적음,896,판매,6,3,생명과학,1,298,4,여자,75,3,3,매니저,4,미혼,13591,14674,3,Y,Y,18,3,3,80,0,16,3,3,1,0,0,0,김수예
88,30,Y,많음,334,판매,26,4,마케팅,1,299,3,여자,52,2,2,영업사원,1,미혼,6696,22967,5,Y,N,15,3,3,80,0,9,5,2,6,3,0,1,이소하
89,45,N,없음,1052,판매,6,3,의학,1,302,4,여자,57,2,3,영업사원,4,미혼,8865,16840,6,Y,N,12,3,4,80,0,23,2,3,19,7,12,8,김사경
90,54,N,적음,1147,판매,3,3,마케팅,1,303,4,여자,52,3,2,영업사원,1,결혼,5940,17011,2,Y,N,14,3,4,80,1,16,4,3,6,2,0,5,차지지
91,33,N,적음,147,연구개발,4,4,의학,1,305,3,여자,47,2,1,분석가,2,결혼,2622,13248,6,Y,N,21,4,4,80,0,7,3,3,3,2,1,1,유지서
92,29,N,많음,1413,판매,1,1,의학,1,312,2,여자,42,3,3,영업사원,4,결혼,7918,6599,1,Y,N,14,3,4,80,1,11,5,3,11,10,4,1,안은라
93,35,N,많음,944,판매,1,3,마케팅,1,314,3,여자,92,3,3,영업사원,3,미혼,8789,9096,1,Y,N,14,3,1,80,0,10,3,4,10,7,0,8,김하연
94,52,N,적음,1323,연구개발,2,3,생명과학,1,316,3,여자,89,2,1,연구원,4,미혼,3212,3300,7,Y,N,15,3,2,80,0,6,3,2,2,2,2,2,양지수
95,50,N,적음,854,판매,1,4,의학,1,323,4,여자,68,3,5,매니저,4,이혼,19517,24118,3,Y,N,11,3,3,80,1,32,3,2,7,0,0,6,김하원
96,43,N,적음,1034,판매,16,3,마케팅,1,327,4,여자,80,3,4,매니저,4,결혼,16064,7744,5,Y,Y,22,4,3,80,1,22,3,3,17,13,1,9,박보하
97,33,Y,적음,465,연구개발,2,2,생명과학,1,328,1,여자,39,3,1,연구원,1,결혼,2707,21509,7,Y,N,20,4,1,80,0,13,3,4,9,7,1,7,한은지
98,32,N,적음,1401,판매,4,2,생명과학,1,330,3,여자,56,3,1,영업 담당자,2,결혼,3931,20990,2,Y,N,11,3,1,80,1,6,5,3,4,3,1,2,김주연
99,39,N,적음,1431,연구개발,1,4,의학,1,332,3,여자,96,3,1,연구원,3,이혼,2232,15417,7,Y,N,14,3,3,80,3,7,1,3,3,2,1,2,김하지
100,33,N,적음,832,연구개발,5,4,생명과학,1,338,3,여자,63,2,1,분석가,4,결혼,2911,14776,1,Y,N,13,3,3,80,1,2,2,2,2,2,0,2,손소연
101,37,N,적음,1017,연구개발,1,2,의학,1,340,3,여자,83,2,1,분석가,1,결혼,3920,18697,2,Y,N,14,3,1,80,1,17,2,2,3,1,0,2,정하연
102,39,N,많음,505,연구개발,2,4,기술학위,1,343,3,여자,64,3,3,의료 담당자,3,미혼,10938,6420,0,Y,N,25,4,4,80,0,20,1,3,19,6,11,8,박보윤
103,42,N,적음,916,연구개발,17,2,생명과학,1,347,4,여자,82,4,2,분석가,1,미혼,6545,23016,3,Y,Y,13,3,3,80,0,10,1,3,3,2,0,2,정수지
104,25,N,적음,685,연구개발,1,3,생명과학,1,350,1,여자,62,3,2,제조 디렉터,3,결혼,4898,7505,0,Y,N,12,3,4,80,2,5,3,3,4,2,1,2,최지정
105,42,N,적음,269,연구개발,2,3,의학,1,351,4,여자,56,2,1,연구원,1,이혼,2593,8007,0,Y,Y,11,3,3,80,1,10,4,3,9,6,7,8,박하리
106,46,N,적음,488,판매,2,3,기술학위,1,363,3,여자,75,1,4,매니저,2,결혼,16872,14977,3,Y,Y,12,3,2,80,1,28,2,2,7,7,7,7,강지리
107,37,N,없음,728,연구개발,1,4,의학,1,380,1,여자,80,3,3,연구 디렉터,4,이혼,13603,11677,2,Y,Y,18,3,1,80,2,15,2,3,5,2,0,2,정윤주
108,35,N,적음,1315,연구개발,22,3,생명과학,1,381,2,여자,71,4,3,매니저,2,이혼,11996,19100,7,Y,N,18,3,2,80,1,10,6,2,7,7,6,2,한지늘
109,38,N,적음,322,판매,7,2,의학,1,382,1,여자,44,4,2,영업사원,1,이혼,5605,19191,1,Y,Y,24,4,3,80,1,8,3,3,8,0,7,7,김주저
110,26,N,많음,1479,연구개발,1,3,생명과학,1,384,3,여자,84,3,2,제조 디렉터,2,이혼,6397,26767,1,Y,N,20,4,1,80,1,6,6,1,6,5,1,4,김수비
111,37,N,적음,1372,연구개발,1,3,생명과학,1,391,4,여자,42,3,1,분석가,4,미혼,2115,15881,1,Y,N,12,3,2,80,0,17,3,3,17,12,5,7,정차연
112,28,N,적음,1117,연구개발,8,2,생명과학,1,395,4,여자,66,3,1,분석가,4,미혼,3310,4488,1,Y,N,21,4,4,80,0,5,3,3,5,3,0,2,송서연
113,49,N,많음,636,연구개발,10,4,생명과학,1,396,3,여자,35,3,5,연구 디렉터,1,미혼,18665,25594,9,Y,Y,11,3,4,80,0,22,4,3,3,2,1,2,임예미
114,31,N,많음,444,판매,5,3,마케팅,1,399,4,여자,84,3,1,영업 담당자,2,이혼,2789,3909,1,Y,N,11,3,3,80,1,2,5,2,2,2,2,2,강세주
115,42,N,많음,555,판매,26,3,마케팅,1,404,3,여자,77,3,4,영업사원,2,결혼,13525,14864,5,Y,N,14,3,4,80,1,23,2,4,20,4,4,8,장시비
116,18,N,적음,812,판매,10,3,의학,1,411,4,여자,69,2,1,영업 담당자,3,미혼,1200,9724,1,Y,N,12,3,1,80,0,0,2,3,0,0,0,0,정이원
117,36,N,없음,1105,연구개발,24,4,생명과학,1,419,2,여자,47,3,2,연구원,2,결혼,5674,6927,7,Y,N,15,3,3,80,1,11,3,3,9,8,0,8,이미원
118,38,N,적음,849,연구개발,25,2,생명과학,1,421,1,여자,81,2,3,연구 디렉터,2,결혼,12061,26707,3,Y,N,17,3,3,80,1,19,2,3,10,8,0,1,김미지
119,33,N,많음,553,연구개발,5,4,생명과학,1,428,4,여자,74,3,3,매니저,2,결혼,11878,23364,6,Y,N,11,3,2,80,2,12,2,3,10,6,8,8,신아예
120,43,N,많음,185,연구개발,10,4,생명과학,1,430,3,여자,33,3,1,연구원,4,미혼,2455,10675,0,Y,N,19,3,1,80,0,9,5,3,8,7,1,7,성서연
121,49,N,적음,1091,연구개발,1,2,기술학위,1,431,3,여자,90,2,4,의료 담당자,3,미혼,13964,17810,7,Y,Y,12,3,4,80,0,25,2,3,7,1,0,7,손소수
122,27,N,적음,1220,연구개발,5,3,생명과학,1,434,3,여자,85,3,1,분석가,2,미혼,2478,20938,1,Y,Y,12,3,2,80,0,4,2,2,4,3,1,2,이재연
123,32,N,적음,588,판매,8,2,기술학위,1,436,3,여자,65,2,2,영업사원,2,결혼,5228,24624,1,Y,Y,11,3,4,80,0,13,2,3,13,12,11,9,이윤저
124,32,N,적음,1018,연구개발,2,4,의학,1,439,1,여자,74,4,2,분석가,4,미혼,5055,10557,7,Y,N,16,3,3,80,0,10,0,2,7,7,0,7,김미시
125,30,N,적음,1275,연구개발,28,2,의학,1,441,4,여자,64,3,2,분석가,4,결혼,5775,11934,1,Y,N,13,3,4,80,2,11,2,3,10,8,1,9,김서연
126,31,N,많음,798,연구개발,7,2,생명과학,1,442,3,여자,48,2,3,제조 디렉터,3,결혼,8943,14034,1,Y,N,24,4,1,80,1,10,2,3,10,9,8,9,한미경
127,39,Y,적음,1162,판매,3,2,의학,1,445,4,여자,41,3,2,영업사원,3,결혼,5238,17778,4,Y,Y,18,3,1,80,0,12,3,2,1,0,0,0,정연원
128,43,N,많음,559,연구개발,10,4,생명과학,1,448,3,여자,82,2,2,연구원,3,이혼,5257,6227,1,Y,N,11,3,2,80,1,9,3,4,9,7,0,0,홍미서
129,54,N,많음,928,연구개발,20,4,생명과학,1,450,4,여자,31,3,2,분석가,3,미혼,4869,16885,3,Y,N,12,3,4,80,0,20,4,2,4,3,0,3,홍도연
130,43,N,적음,1001,연구개발,7,3,생명과학,1,451,3,여자,43,3,3,의료 담당자,1,결혼,9985,9262,8,Y,N,16,3,1,80,1,10,1,2,1,0,0,0,김유아
131,30,N,적음,570,판매,5,3,마케팅,1,456,4,여자,30,2,2,영업사원,3,이혼,6118,5431,1,Y,N,13,3,3,80,3,10,2,3,10,9,1,2,김유다
132,27,N,적음,1130,판매,8,4,마케팅,1,458,2,여자,56,3,2,영업사원,2,결혼,6214,3415,1,Y,N,18,3,1,80,1,8,3,3,8,7,0,7,이수서
133,31,N,적음,1232,연구개발,7,4,의학,1,462,3,여자,39,3,3,제조 디렉터,4,미혼,7143,25713,1,Y,Y,14,3,3,80,0,11,2,2,11,9,4,10,최소연
134,29,N,적음,144,판매,10,1,마케팅,1,463,4,여자,39,2,2,영업사원,2,이혼,8268,11866,1,Y,Y,14,3,1,80,2,7,2,3,7,7,1,7,서주하
135,42,N,적음,810,연구개발,23,5,생명과학,1,468,1,여자,44,3,4,연구 디렉터,4,미혼,15992,15901,2,Y,N,14,3,2,80,0,16,2,3,1,0,0,0,이무지
136,32,N,적음,1062,연구개발,2,3,의학,1,471,3,여자,75,3,1,연구원,2,결혼,2370,3956,1,Y,N,13,3,3,80,1,8,4,3,8,0,0,7,유태지
137,48,N,적음,530,판매,29,1,의학,1,473,1,여자,91,3,3,매니저,3,결혼,12504,23978,3,Y,N,21,4,2,80,1,15,3,1,0,0,0,0,김서윤
138,30,N,없음,641,판매,25,2,기술학위,1,475,4,여자,85,3,2,영업사원,3,결혼,4736,6069,7,Y,Y,12,3,2,80,1,4,2,4,2,2,2,2,황미수
139,21,Y,많음,756,판매,1,1,기술학위,1,478,1,여자,99,2,1,영업 담당자,2,미혼,2174,9150,1,Y,Y,11,3,3,80,0,3,3,3,3,2,1,2,안미하
140,36,N,없음,845,판매,1,5,의학,1,479,4,여자,45,3,2,영업사원,4,미혼,6653,15276,4,Y,N,15,3,2,80,0,7,6,3,1,0,0,0,백유연
141,40,N,적음,1171,연구개발,10,4,생명과학,1,483,4,여자,46,4,1,연구원,3,결혼,2213,22495,3,Y,Y,13,3,3,80,1,10,3,3,7,7,1,7,김소하
142,33,Y,적음,350,판매,5,3,마케팅,1,485,4,여자,34,3,1,영업 담당자,3,미혼,2851,9150,1,Y,Y,13,3,2,80,0,1,2,3,1,0,0,0,박가비
143,37,N,적음,921,연구개발,10,3,의학,1,486,3,여자,98,3,1,연구원,1,결혼,3452,17663,6,Y,N,20,4,2,80,1,17,3,3,5,4,0,3,정세하
144,46,N,없음,1144,연구개발,7,4,의학,1,487,3,여자,30,3,2,제조 디렉터,3,결혼,5258,16044,2,Y,N,14,3,3,80,0,7,2,4,1,0,0,0,윤지미
145,21,Y,적음,156,판매,12,3,생명과학,1,494,3,여자,90,4,1,영업 담당자,2,미혼,2716,25422,1,Y,N,15,3,4,80,0,1,0,3,1,0,0,0,문다미
146,51,N,적음,1178,판매,14,2,생명과학,1,500,3,여자,87,3,2,영업사원,4,결혼,4936,14862,4,Y,N,11,3,3,80,1,18,2,2,7,7,0,7,임서서
147,36,N,적음,329,연구개발,2,3,생명과학,1,501,4,여자,96,3,1,분석가,3,결혼,2543,11868,4,Y,N,13,3,2,80,1,6,3,3,2,2,2,2,박미안
148,55,N,적음,1311,연구개발,2,3,생명과학,1,505,3,여자,97,3,4,매니저,4,미혼,16659,23258,2,Y,Y,13,3,3,80,0,30,2,3,5,4,1,2,정하지
